id,bout,pop,temp,TAI,TEI,mass,opp.mass,mass.diff,sqrtTAI,sqrtTEI,cbrtTAI,cbrtTEI
pshetey007,4,pshetey,23,9,1,3.41,3.389,-0.021,3,1,2.080083823,1
pshetey008,4,pshetey,23,30,31,3.019,1.945,-1.074,5.477225575,5.567764363,3.107232506,3.141380652
pshetey011,4,pshetey,23,0,28,2.599,1.611,-0.988,0,5.291502622,0,3.036588972
pshetey015,4,pshetey,23,23,0,3.68,2.35,-1.33,4.795831523,0,2.84386698,0
pshetey010,4,pshetey,23,84,1,3.165,2.987,-0.178,9.16515139,1,4.37951914,1
pshetey014,3,pshetey,23,1,1,2.525,3.28,0.755,1,1,1,1
pshetey006,3,pshetey,23,14,1,3.227,7.881,4.654,3.741657387,1,2.410142264,1
pshetey012,3,pshetey,23,1,1,3.388,7.04,3.652,1,1,1,1
pshetey013,3,pshetey,23,8,5,4.069,3.363,-0.706,2.828427125,2.236067977,2,1.709975947
pshetey014,4,pshetey,23,34,8,2.525,7.881,5.356,5.830951895,2.828427125,3.239611801,2
pshetey006,4,pshetey,23,52,5,3.227,3.28,0.053,7.211102551,2.236067977,3.732511157,1.709975947
pshetey012,4,pshetey,23,52,8,3.388,9.863,6.475,7.211102551,2.828427125,3.732511157,2
pshetey013,4,pshetey,23,14,0,4.069,4.458,0.389,3.741657387,0,2.410142264,0
